district	district_autocomplete	provider	provider_id	location	location_id	distance_from_center	scale_info
73269  HOCHDORF	73269 Hochdorf, Germany	NA	NA	NA	NA	NA	1000 m
73271  HOLZMADEN	73271 Holzmaden, Germany	NA	NA	NA	NA	NA	1000 m
73230  KIRCHHEIM UNTER TECK	73230 Kirchheim unter Teck, Germany	stadtmobil Stuttgart	125130000	Rossmarkt	125131468	700	1000 m
73230  KIRCHHEIM UNTER TECK	73230 Kirchheim unter Teck, Germany	stadtmobil Stuttgart	125130000	Kirchheim Bahnhof	125131854	1200	1000 m
73257  KOENGEN	73257 Köngen, Germany	NA	NA	NA	NA	NA	1000 m
72664  KOHLBERG	72664 Kohlberg, Germany	NA	NA	NA	NA	NA	1000 m
70771  LEINFELDEN-ECHTERDINGEN	70771 Leinfelden-Echterdingen, Germany	stadtmobil Stuttgart	125130000	Leinfelden Kirchstraße	125132315	500	1000 m
70771  LEINFELDEN-ECHTERDINGEN	70771 Leinfelden-Echterdingen, Germany	stadtmobil Stuttgart	125130000	Leinfelden Bahnhof	125130843	900	1000 m
70771  LEINFELDEN-ECHTERDINGEN	70771 Leinfelden-Echterdingen, Germany	stadtmobil Stuttgart	125130000	Maiergasse (Zehntscheuer)	125132918	2000	1000 m
73252  LENNINGEN	73252 Lenningen, Germany	NA	NA	NA	NA	NA	1000 m
73669  LICHTENWALD	73669 Lichtenwald, Germany	NA	NA	NA	NA	NA	1000 m
72666  NECKARTAILFINGEN	72666 Neckartailfingen, Germany	NA	NA	NA	NA	NA	1000 m
72654  NECKARTENZLINGEN	72654 Neckartenzlingen, Germany	NA	NA	NA	NA	NA	1000 m
73272  NEIDLINGEN	73272 Neidlingen, Germany	NA	NA	NA	NA	NA	1000 m
72639  NEUFFEN	72639 Neuffen, Germany	NA	NA	NA	NA	NA	1000 m
73765  NEUHAUSEN AUF DEN FILDERN	73765 Neuhausen auf den Fildern, Germany	NA	NA	NA	NA	NA	1000 m
73274  NOTZINGEN	73274 Notzingen, Germany	NA	NA	NA	NA	NA	1000 m
72622  NUERTINGEN	72622 Nürtingen, Germany	NA	NA	NA	NA	NA	1000 m
72644  OBERBOIHINGEN	72644 Oberboihingen, Germany	NA	NA	NA	NA	NA	1000 m
73275  OHMDEN	73275 Ohmden, Germany	NA	NA	NA	NA	NA	1000 m
73760  OSTFILDERN	73760 Ostfildern, Germany	stadtmobil Stuttgart	125130000	Edith-Stein-Straße	125132167	1000	1000 m
73760  OSTFILDERN	73760 Ostfildern, Germany	stadtmobil Stuttgart	125130000	Niemöllerstraße	125133092	1100	1000 m
73760  OSTFILDERN	73760 Ostfildern, Germany	stadtmobil Stuttgart	125130000	Parksiedlung	125132955	1500	1000 m
73760  OSTFILDERN	73760 Ostfildern, Germany	stadtmobil Stuttgart	125130000	Stadtbahn / Im Flieder	125132166	1700	1000 m
73760  OSTFILDERN	73760 Ostfildern, Germany	stadtmobil Stuttgart	125130000	Grabenäckerstraße	125133096	1900	1000 m
73277  OWEN	73277 Owen, Germany	NA	NA	NA	NA	NA	1000 m
73207  PLOCHINGEN	73207 Plochingen, Germany	stadtmobil Stuttgart	125130000	Plochingen Bahnhof	125134471	1400	1000 m
73207  PLOCHINGEN	73207 Plochingen, Germany	stadtmobil Stuttgart	125130000	Siegenbergplatz	125132169	1800	1000 m
73262  REICHENBACH AN DER FILS	73262 Reichenbach an der Fils, Germany	stadtmobil Stuttgart	125130000	Siegenbergplatz	125132169	1400	1000 m
72667  SCHLAITDORF	72667 Schlaitdorf, Germany	NA	NA	NA	NA	NA	1000 m
72669  UNTERENSINGEN	72669 Unterensingen, Germany	NA	NA	NA	NA	NA	1000 m
73235  WEILHEIM AN DER TECK	73235 Weilheim an der Teck, Germany	NA	NA	NA	NA	NA	1000 m
73240  WENDLINGEN AM NECKAR	73240 Wendlingen am Neckar, Germany	Car Sharing Wendlingen	125970000	Christofstraße 6	125970002	100	1000 m
73240  WENDLINGEN AM NECKAR	73240 Wendlingen am Neckar, Germany	Car Sharing Wendlingen	125970000	Stadtmitte	125970003	900	1000 m
73240  WENDLINGEN AM NECKAR	73240 Wendlingen am Neckar, Germany	Car Sharing Wendlingen	125970000	Burggartenstraße 57	125970004	1300	1000 m
73240  WENDLINGEN AM NECKAR	73240 Wendlingen am Neckar, Germany	Car Sharing Wendlingen	125970000	Bahnhof	125970001	1400	1000 m
73249  WERNAU (NECKAR)	73249 Wernau, Germany	NA	NA	NA	NA	NA	1000 m
72649  WOLFSCHLUGEN	72649 Wolfschlugen, Germany	NA	NA	NA	NA	NA	1000 m
73099  ADELBERG	73099 Adelberg, Germany	NA	NA	NA	NA	NA	1000 m
73101  AICHELBERG	73101 Aichelberg, Germany	NA	NA	NA	NA	NA	1000 m
73095  ALBERSHAUSEN	73095 Albershausen, Germany	NA	NA	NA	NA	NA	1000 m
73342  BAD DITZENBACH	73342 Bad Ditzenbach, Germany	NA	NA	NA	NA	NA	1000 m
73337  BAD UEBERKINGEN	73337 Bad Überkingen, Germany	NA	NA	NA	NA	NA	1000 m
73102  BIRENBACH	73102 Birenbach, Germany	NA	NA	NA	NA	NA	1000 m
73312  BOEHMENKIRCH	73312 Geislingen, Germany	NA	NA	NA	NA	NA	1000 m
73104  BOERTLINGEN	73104 Börtlingen, Germany	NA	NA	NA	NA	NA	1000 m
73087  BOLL	73087 Boll, Germany	NA	NA	NA	NA	NA	1000 m
73312  DEGGINGEN	Deggingen, Germany	NA	NA	NA	NA	NA	1000 m
73072  DONZDORF	73072 Donzdorf, Germany	NA	NA	NA	NA	NA	1000 m
73345  DRACKENSTEIN	73345 Hohenstadt, Germany	NA	NA	NA	NA	NA	1000 m
73105  DUERNAU	73105 Dürnau, Germany	NA	NA	NA	NA	NA	1000 m
73061  EBERSBACH AN DER FILS	73061 Ebersbach an der Fils, Germany	NA	NA	NA	NA	NA	1000 m
73054  EISLINGEN/FILS	73054 Eislingen, Germany	NA	NA	NA	NA	NA	1000 m
73107  ESCHENBACH	73107 Eschenbach, Germany	NA	NA	NA	NA	NA	1000 m
73108  GAMMELSHAUSEN	73108 Gammelshausen, Germany	NA	NA	NA	NA	NA	1000 m
73312  GEISLINGEN A.D.STEIGE	73312 Geislingen, Germany	NA	NA	NA	NA	NA	1000 m
73333  GINGEN AN DER FILS	73333 Gingen an der Fils, Germany	NA	NA	NA	NA	NA	1000 m
73033  GOEPPINGEN	73033 Göppingen, Germany	NA	NA	NA	NA	NA	1000 m
73344  GRUIBINGEN	73344 Gruibingen, Germany	NA	NA	NA	NA	NA	1000 m
73110  HATTENHOFEN	73110 Hattenhofen, Germany	NA	NA	NA	NA	NA	1000 m
73092  HEININGEN	73092 Heiningen, Germany	NA	NA	NA	NA	NA	1000 m
73345  HOHENSTADT	73345 Hohenstadt, Germany	NA	NA	NA	NA	NA	1000 m
73329  KUCHEN	73329 Kuchen, Germany	NA	NA	NA	NA	NA	1000 m
73111  LAUTERSTEIN	73111 Lauterstein, Germany	NA	NA	NA	NA	NA	1000 m
73347  MUEHLHAUSEN IM TAELE	73347 Mühlhausen im Täle, Germany	NA	NA	NA	NA	NA	1000 m
73113  OTTENBACH	73113 Ottenbach, Germany	NA	NA	NA	NA	NA	1000 m
73098  RECHBERGHAUSEN	73098 Rechberghausen, Germany	NA	NA	NA	NA	NA	1000 m
