district	district_autocomplete	provider	provider_id	location	location_id	distance_from_center	scale_info
89073  ULM	89073 Ulm, Germany	conficars	125780000	Ulm, Oststadt, Schülinstraße 25 Parkplatz Studentenwohnanlage	125780038	500	1000 m
89073  ULM	89073 Ulm, Germany	conficars	125780000	Neu-Ulm, Innenstadt, Rathausstraße 5, Innenhof Rathausplatz	125780037	800	1000 m
89073  ULM	89073 Ulm, Germany	Flinkster - Mein Carsharing	120430000	Hbf Ulm	120430107	1100	1000 m
89073  ULM	89073 Ulm, Germany	conficars	125780000	Neu-Ulm, Innenstadt, Von-Hünefeld-Straße 28 Campus Village	125780039	1300	1000 m
89073  ULM	89073 Ulm, Germany	conficars	125780000	Ulm, Weststadt, Schillerstraße 38	125780023	1300	1000 m
89073  ULM	89073 Ulm, Germany	conficars	125780000	Ulm, Weststadt, Kleiststraße 4-6 Schotterparkplatz	125780036	1400	1000 m
89604  ALLMENDINGEN	89604 Allmendingen, Germany	NA	NA	NA	NA	NA	1000 m
89605  ALTHEIM	89605 Altheim, Germany	NA	NA	NA	NA	NA	1000 m
89174  ALTHEIM (ALB)	89174 Altheim, Germany	NA	NA	NA	NA	NA	1000 m
73340  AMSTETTEN	73340 Amstetten, Germany	NA	NA	NA	NA	NA	1000 m
89176  ASSELFINGEN	89176 Asselfingen, Germany	NA	NA	NA	NA	NA	1000 m
89177  BALLENDORF	89177 Ballendorf, Germany	NA	NA	NA	NA	NA	1000 m
88481  BALZHEIM	88481 Balzheim, Germany	NA	NA	NA	NA	NA	1000 m
89179  BEIMERSTETTEN	89179 Beimerstetten, Germany	NA	NA	NA	NA	NA	1000 m
89180  BERGHUELEN	89180 Berghülen, Germany	NA	NA	NA	NA	NA	1000 m
89182  BERNSTADT	89182 Bernstadt, Germany	NA	NA	NA	NA	NA	1000 m
89143  BLAUBEUREN	89143 Blaubeuren, Germany	NA	NA	NA	NA	NA	1000 m
89134  BLAUSTEIN	89134 Blaustein, Germany	NA	NA	NA	NA	NA	1000 m
89177  BOERSLINGEN	89177 Börslingen, Germany	NA	NA	NA	NA	NA	1000 m
89183  BREITINGEN	89183 Breitingen, Germany	NA	NA	NA	NA	NA	1000 m
89165  DIETENHEIM	89165 Dietenheim, Germany	NA	NA	NA	NA	NA	1000 m
89160  DORNSTADT	89160 Dornstadt, Germany	NA	NA	NA	NA	NA	1000 m
89584  EHINGEN (DONAU)	89584 Ehingen, Germany	NA	NA	NA	NA	NA	1000 m
88499  EMERINGEN	Emeringen, Germany	NA	NA	NA	NA	NA	1000 m
89607  EMERKINGEN	89607 Emerkingen, Germany	NA	NA	NA	NA	NA	1000 m
89155  ERBACH	89155 Erbach an der Donau, Germany	NA	NA	NA	NA	NA	1000 m
89608  GRIESINGEN	89608 Griesingen, Germany	NA	NA	NA	NA	NA	1000 m
89613  GRUNDSHEIM	Grundsheim, Germany	NA	NA	NA	NA	NA	1000 m
89597  HAUSEN AM BUSSEN	89597 Hausen am Bussen, Germany	NA	NA	NA	NA	NA	1000 m
72535  HEROLDSTATT	72535 Heroldstatt, Germany	NA	NA	NA	NA	NA	1000 m
89183  HOLZKIRCH	89183 Holzkirch, Germany	NA	NA	NA	NA	NA	1000 m
89185  HUETTISHEIM	89185 Hüttisheim, Germany	NA	NA	NA	NA	NA	1000 m
89171  ILLERKIRCHBERG	89171 Illerkirchberg, Germany	NA	NA	NA	NA	NA	1000 m
89186  ILLERRIEDEN	89186 Illerrieden, Germany	NA	NA	NA	NA	NA	1000 m
89150  LAICHINGEN	89150 Laichingen, Germany	NA	NA	NA	NA	NA	1000 m
89129  LANGENAU	89129 Langenau, Germany	NA	NA	NA	NA	NA	1000 m
89584  LAUTERACH	89584 Lauterach, Germany	NA	NA	NA	NA	NA	1000 m
89173  LONSEE	89173 Lonsee, Germany	NA	NA	NA	NA	NA	1000 m
89188  MERKLINGEN	89188 Merklingen, Germany	NA	NA	NA	NA	NA	1000 m
89597  MUNDERKINGEN	89597 Unterwachingen, Germany	NA	NA	NA	NA	NA	1000 m
89189  NEENSTETTEN	89189 Neenstetten, Germany	NA	NA	NA	NA	NA	1000 m
89191  NELLINGEN	89191 Nellingen, Germany	NA	NA	NA	NA	NA	1000 m
89129  NERENSTETTEN	89129 Nerenstetten, Germany	NA	NA	NA	NA	NA	1000 m
89610  OBERDISCHINGEN	89610 Oberdischingen, Germany	NA	NA	NA	NA	NA	1000 m
89611  OBERMARCHTAL	89611 Rechtenstein, Germany	NA	NA	NA	NA	NA	1000 m
89613  OBERSTADION	89613 Oberstadion, Germany	NA	NA	NA	NA	NA	1000 m
89129  OELLINGEN	89129 Öllingen, Germany	NA	NA	NA	NA	NA	1000 m
89614  OEPFINGEN	89614 Öpfingen, Germany	NA	NA	NA	NA	NA	1000 m
89192  RAMMINGEN	89192 Rammingen, Germany	NA	NA	NA	NA	NA	1000 m
89611  RECHTENSTEIN	Rechtenstein, Germany	NA	NA	NA	NA	NA	1000 m
89616  ROTTENACKER	89616 Rottenacker, Germany	NA	NA	NA	NA	NA	1000 m
89601  SCHELKLINGEN	89601 Schelklingen, Germany	NA	NA	NA	NA	NA	1000 m
89194  SCHNUERPFLINGEN	89194 Schnürpflingen, Germany	NA	NA	NA	NA	NA	1000 m
89129  SETZINGEN	89129 Setzingen, Germany	NA	NA	NA	NA	NA	1000 m
89195  STAIG	89195 Staig, Germany	NA	NA	NA	NA	NA	1000 m
89617  UNTERMARCHTAL	89617 Untermarchtal, Germany	NA	NA	NA	NA	NA	1000 m
89619  UNTERSTADION	89619 Unterstadion, Germany	NA	NA	NA	NA	NA	1000 m
89597  UNTERWACHINGEN	Unterwachingen, Germany	NA	NA	NA	NA	NA	1000 m
89197  WEIDENSTETTEN	89197 Weidenstetten, Germany	NA	NA	NA	NA	NA	1000 m
72589  WESTERHEIM	72589 Westerheim, Germany	NA	NA	NA	NA	NA	1000 m
89198  WESTERSTETTEN	89198 Westerstetten, Germany	NA	NA	NA	NA	NA	1000 m
88480  ACHSTETTEN	88480 Achstetten, Germany	NA	NA	NA	NA	NA	1000 m
88422  ALLESHAUSEN	88422 Alleshausen, Germany	NA	NA	NA	NA	NA	1000 m
88348  ALLMANNSWEILER	Allmannsweiler, Germany	NA	NA	NA	NA	NA	1000 m
88499  ALTHEIM	88499 Altheim, Germany	NA	NA	NA	NA	NA	1000 m
88448  ATTENWEILER	88448 Attenweiler, Germany	NA	NA	NA	NA	NA	1000 m
88422  BAD BUCHAU	88422 Bad Buchau, Germany	NA	NA	NA	NA	NA	1000 m
88427  BAD SCHUSSENRIED	88427 Bad Schussenried, Germany	NA	NA	NA	NA	NA	1000 m
88450  BERKHEIM	88450 Berkheim, Germany	NA	NA	NA	NA	NA	1000 m
88422  BETZENWEILER	88422 Betzenweiler, Germany	NA	NA	NA	NA	NA	1000 m
88400  BIBERACH AN DER RISS	88400 Biberach, Germany	teilAuto Biberach	125270000	Innenstadt, Viehmarktplatz/Stadtbücherei	125270009	200	1000 m
88400  BIBERACH AN DER RISS	88400 Biberach, Germany	teilAuto Biberach	125270000	Innenstadt, Tiefgarage Museum	125270004	300	1000 m
88400  BIBERACH AN DER RISS	88400 Biberach, Germany	teilAuto Biberach	125270000	Innenstadt, Bahnhof	125270001	800	1000 m
88400  BIBERACH AN DER RISS	88400 Biberach, Germany	teilAuto Biberach	125270000	Taldfeld, Steigstr. 31	125270010	1200	1000 m
88400  BIBERACH AN DER RISS	88400 Biberach, Germany	teilAuto Biberach	125270000	Mittelberg, Wetterkreuzstr. 103	125270008	1400	1000 m
88400  BIBERACH AN DER RISS	88400 Biberach, Germany	teilAuto Biberach	125270000	Rißegger Steige, Rißegger Steige 70	125270002	1500	1000 m
88400  BIBERACH AN DER RISS	88400 Biberach, Germany	teilAuto Biberach	125270000	Stadtteilhaus Gaisental, ggüber Banatstr. 31	125270003	1600	1000 m
88483  BURGRIEDEN	88483 Burgrieden, Germany	NA	NA	NA	NA	NA	1000 m
88451  DETTINGEN AN DER ILLER	88451 Dettingen an der Iller, Germany	NA	NA	NA	NA	NA	1000 m
