"RENTAL_ZONE_HAL_ID";"RENTAL_ZONE_HAL_SRC";"NAME";"CODE";"TYPE";"CITY";"COUNTRY";"LATITUDE";"LONGITUDE";"POI_AIRPORT_X";"POI_LONG_DISTANCE_TRAINS_X";"POI_SUBURBAN_TRAINS_X";"POI_UNDERGROUND_X";"ACTIVE_X";"COMPANY";"COMPANY_GROUP"
"402676";"Station";"Winsstraße";"WIN";"stationbased";"Berlin";"Deutschland";"52,536091947038990";"13,427448123693466";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402677";"Station";"Danziger Straße";"DANZ";"stationbased";"Berlin";"Deutschland";"52,536625439271960";"13,432269394397736";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402678";"Station";"Kolmarer Straße";"KOLM";"stationbased";"Berlin";"Deutschland";"52,533959544848244";"13,419393450021744";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402679";"Station";"Marienburger Straße";"MARIE";"stationbased";"Berlin";"Deutschland";"52,533238387698620";"13,428699374198914";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402680";"Station";"Wörther Straße";"WÖR";"stationbased";"Berlin";"Deutschland";"52,535775437879890";"13,421588243118322";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402689";"Station";"Pasteurstraße";"PAST";"stationbased";"Berlin";"Deutschland";"52,533620178253170";"13,433318138122559";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402690";"Station";"Buchholzer Straße";"BUHO";"stationbased";"Berlin";"Deutschland";"52,545068273503100";"13,414923548698425";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402691";"Station";"Lychener Straße";"LYCH";"stationbased";"Berlin";"Deutschland";"52,541114185216050";"13,414695560932160";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402692";"Station";"Topsstraße";"TOP";"stationbased";"Berlin";"Deutschland";"52,542706303202050";"13,411727696657180";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402693";"Station";"Dunckerstraße";"DUN";"stationbased";"Berlin";"Deutschland";"52,542181856780070";"13,420384526252747";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402694";"Station";"Kopenhagener Straße ggü. Rhinower Str.";"KOP";"stationbased";"Berlin";"Deutschland";"52,548983677005600";"13,410004377365112";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402695";"Station";"Oderberger Straße";"ODER";"stationbased";"Berlin";"Deutschland";"52,540393961236540";"13,405023515224457";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402696";"Station";"Sonnenburger Straße";"SONN";"stationbased";"Berlin";"Deutschland";"52,547333068335085";"13,407611846923828";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402697";"Station";"Stargarder Straße";"STAR";"stationbased";"Berlin";"Deutschland";"52,546734462698110";"13,417750597000122";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402698";"Station";"Driesener Straße";"DRIE";"stationbased";"Berlin";"Deutschland";"52,551074576329015";"13,405601531267166";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402700";"Station";"Gehringstraße";"GEH";"stationbased";"Berlin";"Deutschland";"52,562333057734580";"13,465118408203125";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402701";"Station";"Pfarrer-Perabo-Platz 2";"DB PPP";"stationbased";"Frankfurt am Main";"Deutschland";"50,098420707189010";"8,634910583496093";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402716";"Station";"Parkraumquartier Akademieviertel";"PRAK";"parkingarea";"München";"Deutschland";"48,152700000000000";"11,580100000000000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402726";"Station";"Parkraumquartier Klinikviertel";"PRKL";"parkingarea";"München";"Deutschland";"48,138125523294000";"11,600947082926000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402727";"Station";"Parkraumquartier Grillparzerstraße";"PRGR";"parkingarea";"München";"Deutschland";"48,136608246071000";"11,607860307495000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402728";"Station";"Parkraumquartier Kirchenstraße";"PRKI";"parkingarea";"München";"Deutschland";"48,133213104928000";"11,601398058785000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402729";"Station";"Parkraumquartier Franzosenviertel";"PRFV";"parkingarea";"München";"Deutschland";"48,130400198987000";"11,596576044536000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402730";"Station";"Parkraumquartier Franziskanerstraße";"PRFS";"parkingarea";"München";"Deutschland";"48,126837317843000";"11,591749957215000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402731";"Station";"Parkraumquartier Regerplatz";"PRRP";"parkingarea";"München";"Deutschland";"48,123243128309000";"11,588561664370000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402732";"Station";"Parkraumquartier Nördliche Au";"PRNA";"parkingarea";"München";"Deutschland";"48,127283167084000";"11,585047455353000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402733";"Station";"Parkraumquartier Südliche Au";"PRSA";"parkingarea";"München";"Deutschland";"48,122174493163000";"11,577818056190000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402734";"Station";"Parkraumquartier Alter Südfriedhof";"PRAS";"parkingarea";"München";"Deutschland";"48,129859560898000";"11,563208506977000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402735";"Station";"Parkraumquartier Dreimühlenviertel";"PRDR";"parkingarea";"München";"Deutschland";"48,121960328660000";"11,559879723879000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402736";"Station";"Parkraumquartier Gärtnerplatz";"PRGP";"parkingarea";"München";"Deutschland";"48,132249336117000";"11,578841684412000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402737";"Station";"Parkraumquartier Glockenbachviertel";"PRGL";"parkingarea";"München";"Deutschland";"48,128106416958000";"11,569288561091000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402738";"Station";"Parkraumquartier Innenstadtklinikum";"PRIK";"parkingarea";"München";"Deutschland";"48,133106007897000";"11,558235059407000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402739";"Station";"Parkraumquartier Lindwurmstraße";"PRLI";"parkingarea";"München";"Deutschland";"48,126216121109000";"11,552108934787000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402740";"Station";"Parkraumquartier St.-Pauls-Viertel";"PRSP";"parkingarea";"München";"Deutschland";"48,137095775202000";"11,552127318952000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402741";"Station";"Parkraumquartier Nördliches Lehel";"PRNL";"parkingarea";"München";"Deutschland";"48,146036547527000";"11,593941339773000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402742";"Station";"Parkraumquartier Mittleres Lehel";"PRML";"parkingarea";"München";"Deutschland";"48,139740488528000";"11,588174832370000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402743";"Station";"Parkraumquartier Südliches Lehel";"PRSL";"parkingarea";"München";"Deutschland";"48,135784058220000";"11,585689421281000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402744";"Station";"Parkraumquartier Giselastraße";"PRGI";"parkingarea";"München";"Deutschland";"48,153679626523000";"11,585086376719000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402745";"Station";"Parkraumquartier Karolinenplatz";"PRKA";"parkingarea";"München";"Deutschland";"48,143450014596000";"11,568709857003000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402746";"Station";"Parkraumquartier Königsplatz";"PRKP";"parkingarea";"München";"Deutschland";"48,145433656642000";"11,562004609171000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402747";"Station";"Parkraumquartier Pinakotheken";"PRPI";"parkingarea";"München";"Deutschland";"48,147305116919000";"11,574837036973000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402748";"Station";"Parkraumquartier Schleißheimer Straße";"PRSC";"parkingarea";"München";"Deutschland";"48,153770223251000";"11,560560495268000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402749";"Station";"Parkraumquartier Schönfeldviertel";"PRSF";"parkingarea";"München";"Deutschland";"48,148009295107000";"11,582506765963000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402750";"Station";"Parkraumquartier TU-Viertel";"PRTU";"parkingarea";"München";"Deutschland";"48,151951110144000";"11,569187245589000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402751";"Station";"Parkraumquartier Borstei";"PRBO";"parkingarea";"München";"Deutschland";"48,169401761569000";"11,534489176290000";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402752";"Station";"Parkraumquartier Albrechtstraße";"PRAL";"parkingarea";"München";"Deutschland";"48,152522398264000";"11,540932298983000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402753";"Station";"Parkraumquartier St.-Benno-Viertel";"PRSB";"parkingarea";"München";"Deutschland";"48,151209788390000";"11,552555911952000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402754";"Station";"Parkraumquartier Heßstraße";"PRHE";"parkingarea";"München";"Deutschland";"48,158162829872000";"11,552954570009000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402755";"Station";"Parkraumquartier Kasernenviertel";"PRKV";"parkingarea";"München";"Deutschland";"48,154968833199000";"11,546016548228000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402756";"Station";"Parkraumquartier Ebenau";"PREB";"parkingarea";"München";"Deutschland";"48,161483501790000";"11,541925320527000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402757";"Station";"Parkraumquartier Volkartstraße";"PRVO";"parkingarea";"München";"Deutschland";"48,158369109068000";"11,541415409331000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402758";"Station";"Parkraumquartier St.-Vinzenz-Viertel";"PRSV";"parkingarea";"München";"Deutschland";"48,147789692125000";"11,543614456199000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402759";"Station";"Parkraumquartier Marsfeld";"PRMA";"parkingarea";"München";"Deutschland";"48,145932866871000";"11,551495606096000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402760";"Station";"Parkraumquartier Altschwabing";"PRAT";"parkingarea";"München";"Deutschland";"48,161648011185000";"11,589587272095000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402761";"Station";"Parkraumquartier Barbarastraße";"PRBA";"parkingarea";"München";"Deutschland";"48,159448529066000";"11,558528595176000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402762";"Station";"Parkraumquartier Bayernplatz";"PRBY";"parkingarea";"München";"Deutschland";"48,163573929460000";"11,568915348236000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402763";"Station";"Parkraumquartier Biederstein";"PRBI";"parkingarea";"München";"Deutschland";"48,168712988385000";"11,596115172593000";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402764";"Station";"Parkraumquartier Clemensstraße";"PRCL";"parkingarea";"München";"Deutschland";"48,165263130805000";"11,579666868226000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402765";"Station";"Parkraumquartier Kölner Platz";"PRKÖ";"parkingarea";"München";"Deutschland";"48,168791234553000";"11,580285866629000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402766";"Station";"Parkraumquartier Lerchenauer Straße";"PRLE";"parkingarea";"München";"Deutschland";"48,172351673807000";"11,565373243916000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402767";"Station";"Parkraumquartier Potsdamer Straße";"PRPO";"parkingarea";"München";"Deutschland";"48,167529440765000";"11,589399127282000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402768";"Station";"Parkraumquartier Schwabing-Mitte";"PRSM";"parkingarea";"München";"Deutschland";"48,160272256677000";"11,580425199213000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402769";"Station";"Parkraumquartier West Schwabing";"PRWS";"parkingarea";"München";"Deutschland";"48,158498837914000";"11,570107939128000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402770";"Station";"Parkraumquartier Tristanstraße";"PRTR";"parkingarea";"München";"Deutschland";"48,173988251321000";"11,584425633242000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402771";"Station";"Parkraumquartier Winzererstraße";"PRWI";"parkingarea";"München";"Deutschland";"48,164611926966000";"11,562200465122000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402772";"Station";"Parkraumquartier Ridlerstraße";"PRRI";"parkingarea";"München";"Deutschland";"48,132563884051000";"11,535949643686000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402773";"Station";"Parkraumquartier Schwanthalerhöhe";"PRSH";"parkingarea";"München";"Deutschland";"48,138125284965000";"11,537744018654000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402774";"Station";"Parkraumquartier Theresienhöhe";"PRTH";"parkingarea";"München";"Deutschland";"48,136874334604000";"11,544697196496000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402775";"Station";"Parkraumquartier Westend";"PRWE";"parkingarea";"München";"Deutschland";"48,137973355824000";"11,531851492740000";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402776";"Station";"Parkraumquartier Herzog-Ernst-Platz";"PRHP";"parkingarea";"München";"Deutschland";"48,124791156406000";"11,541131053609000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402777";"Station";"Parkraumquartier Untersendling";"PRUS";"parkingarea";"München";"Deutschland";"48,119203227047000";"11,546080844554000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402778";"Station";"Parkraumquartier Margaretenplatz";"PRMP";"parkingarea";"München";"Deutschland";"48,119875358753000";"11,539107421755000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402779";"Station";"Parkraumquartier Karwendelstraße";"PRKW";"parkingarea";"München";"Deutschland";"48,114157650782000";"11,538337323337000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402780";"Station";"Parkraumquartier Brudermühlviertel";"PRBR";"parkingarea";"München";"Deutschland";"48,112030810359000";"11,549211501175000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402781";"Station";"Parkraumquartier Schyrenbad";"PRSY";"parkingarea";"München";"Deutschland";"48,119054262011000";"11,571032324521000";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
